2017-11-24 15:07:35.373 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-24 15:07:35.425 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@681e731c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@271768ab, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@71d8c699, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4ed6a133, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6cf143b4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5394164c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1f440272, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@29fc9a67, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6fcf5ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@496889eb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6e36c8f3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4ec3020c]
2017-11-24 15:09:25.301 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.acec.demo.HelloWorldControlerTests], using SpringBootContextLoader
2017-11-24 15:09:25.320 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.acec.demo.HelloWorldControlerTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-11-24 15:09:25.322 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.acec.demo.HelloWorldControlerTests]: HelloWorldControlerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-11-24 15:09:25.607 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.acec.demo.DemoApplication for test class com.acec.demo.HelloWorldControlerTests
2017-11-24 15:09:25.619 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-11-24 15:09:25.649 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@263d0564, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@702cfbd8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@194a5b71, org.springframework.test.context.support.DirtiesContextTestExecutionListener@60b964af, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2b814ec5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@365a7dd3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6efac385, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@113a89af, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1a2548ff, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5db6ac2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@83de98f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@18b0af83]
2017-11-24 15:12:11.487 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.acec.demo.HelloWorldControlerTests], using SpringBootContextLoader
2017-11-24 15:12:11.512 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.acec.demo.HelloWorldControlerTests]: no resource found for suffixes {-context.xml, Context.groovy}.
